username,userid,profile_location,created_at,text,retweet_count,source,coordinates
enomaojo,1557475638671560705,"Dallas, TX",2023-01-22 06:11:30,"@theandrewdoll @leslieebersole @DashDobrofsky Yeah, over 100 members of BLM where part of the J6 insurrectionists 😏😏",0,Twitter for Android,
Patrick Rafferty,1585947359199911938,"Las Cruces, NM",2023-01-22 05:59:31,"@PamelaHensley22 Antifa certainly, BLM is just a morally bankrupt organization that’s swindled millions to benefit… https://t.co/u6vaqe1T1K",0,Twitter for iPhone,
Reinier Martínez,3321489342,"Dallas, TX",2023-01-22 02:23:48,"#Antifa and #BLM they are back to set our cities on fire again, vandalize and loot everything in their path, but ne… https://t.co/H0KzQuXMxF",0,Twitter for iPhone,
Douglas Lukasik,542044576,"Dallas, TX",2023-01-22 00:30:12,@yesh222 @keithwadeallen @Brian_Chovanec @WalshFreedom @JodyWeitzman Every Dem Congressman who “supported BLM prote… https://t.co/ljO1YNe2OI,0,Twitter Web App,
Douglas Lukasik,542044576,"Dallas, TX",2023-01-21 18:50:00,@keithwadeallen @Brian_Chovanec @WalshFreedom @JodyWeitzman @yesh222 The idea that leftist ideology is premised on… https://t.co/D92qyPOgsG,0,Twitter Web App,
Janelollipop😷,1357408338850549770,"Hurst, TX",2023-01-21 14:15:15,"@NathanMackBrown There’s just nothing like an old, white,disgusting, racist, judge, when your a little white killer… https://t.co/pq3WRGTMLH",0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-21 13:36:35,Remaining 3 pages of the article: https://t.co/shDYLe6AsY,0,Twitter for iPhone,
Michaela,1309316216033550336,"University Park, TX",2023-01-21 13:35:24,"“The WEFs Agenda Is To Create a New World Order!” 

THESE SICK PIECES OF CRAP in DAVOS at the WEF (world economic f… https://t.co/4dzVS2d1ue",0,Twitter for iPhone,
Jorlaxe,1610402707986124800,"Plano, TX",2023-01-21 13:29:18,@Surge79675 @DailyLoud Where just as upset when blm riots were going on?  Or cheering them on?,0,Twitter for iPhone,
John H. Perez,1566113551,"Dallas , Texas",2023-01-21 12:17:24,"@FOX4 Those coward thugs in Oak Cliff that yell blm blm are the ones who murdered her, they can’t go into hiding for long ,",0,Twitter for iPhone,
Chivas,1101967391301554177,"Dallas, TX",2023-01-21 04:34:50,@TheLegitZoker @jchriscloud @EndWokeness Damages caused by BLM riots? What about the damage caused by white mobs mu… https://t.co/T0Qz0qy6Fx,0,Twitter for Android,
